,z_delta_+-,z_omega_pi,z_omega_-,mean_lambda,nu_svr,SPR_svr
mean,0.7057862499635816,0.4410627185667101,0.6875740275032102,0.8444717170307567,0.8088890504336309,0.9075596886274196
std,0.001198577766068389,0.002622842921171199,0.0012928585107122741,0.0004410253166283411,0.001147405303496033,0.00040461464563957704
q025,0.7034502458380592,0.43615218896301106,0.6850442240768438,0.8436325044161866,0.8065685230658373,0.9067463442085322
q975,0.7081417380952678,0.44652852026658446,0.6899846251276369,0.8453124969945912,0.811042080994833,0.9083830474410833
