,nu_two_sided,nu_pvalue_g,nu_pvalue_l,nu_one_sided,nu_one_sided_latex,nu_one_sided_excel,SPR_two_sided,SPR_pvalue_g,SPR_pvalue_l,SPR_one_sided,SPR_one_sided_latex,SPR_one_sided_excel,n
extracellular exosome,7.517746292542049e-12,3.7588731462710245e-12,0.9999999999962411,3.7588731462710245e-12,	extcolor{green}{$<$1e-10},<1e-10,5.135826980169721e-10,2.5679134900848607e-10,0.9999999997432086,2.5679134900848607e-10,	extcolor{green}{3e-10},3e-10,1554.0
lysosome,8.15875831905783e-12,4.079379159528915e-12,0.9999999999959206,4.079379159528915e-12,	extcolor{green}{$<$1e-10},<1e-10,3.5895987020602816e-13,1.7947993510301408e-13,0.9999999999998205,1.7947993510301408e-13,	extcolor{green}{$<$1e-10},<1e-10,548.0
trans-Golgi network,3.1982291738706855e-10,1.5991145869353428e-10,0.9999999998400886,1.5991145869353428e-10,	extcolor{green}{2e-10},2e-10,1.919006398056262e-08,9.59503199028131e-09,0.999999990404968,9.59503199028131e-09,	extcolor{green}{1e-08},1e-08,298.0
cell surface,3.3083732247490043e-10,1.6541866123745021e-10,0.9999999998345813,1.6541866123745021e-10,	extcolor{green}{2e-10},2e-10,7.422697142281984e-10,3.711348571140992e-10,0.9999999996288651,3.711348571140992e-10,	extcolor{green}{4e-10},4e-10,789.0
endosome,4.3517337608305017e-10,2.1758668804152508e-10,0.9999999997824133,2.1758668804152508e-10,	extcolor{green}{2e-10},2e-10,4.4270546026302745e-11,2.2135273013151373e-11,0.9999999999778647,2.2135273013151373e-11,	extcolor{green}{$<$1e-10},<1e-10,1054.0
external side of plasma membrane,7.077838803883871e-09,3.5389194019419354e-09,0.9999999964610806,3.5389194019419354e-09,	extcolor{green}{4e-09},4e-09,1.6159708678320604e-09,8.079854339160302e-10,0.9999999991920145,8.079854339160302e-10,	extcolor{green}{8e-10},8e-10,280.0
lysosomal membrane,1.3321315050075458e-08,6.660657525037729e-09,0.9999999933393425,6.660657525037729e-09,	extcolor{green}{7e-09},7e-09,2.0989234263070448e-12,1.0494617131535224e-12,0.9999999999989505,1.0494617131535224e-12,	extcolor{green}{$<$1e-10},<1e-10,324.0
nuclear body,2.4763084915946365e-08,0.9999999876184575,1.2381542457973183e-08,1.2381542457973183e-08,	extcolor{orange}{1e-08},1e-08,1.0574781146965861e-05,0.9999947126094265,5.287390573482931e-06,5.287390573482931e-06,	extcolor{orange}{5e-06},5e-06,1281.0
nuclear speck,2.855582370564491e-08,0.9999999857220881,1.4277911852822456e-08,1.4277911852822456e-08,	extcolor{orange}{1e-08},1e-08,9.078777724491616e-06,0.9999954606111378,4.539388862245808e-06,4.539388862245808e-06,	extcolor{orange}{5e-06},5e-06,631.0
basolateral plasma membrane,3.238070172544471e-08,1.6190350862722354e-08,0.9999999838096492,1.6190350862722354e-08,	extcolor{green}{2e-08},2e-08,1.0340285514170932e-12,5.170142757085466e-13,0.999999999999483,5.170142757085466e-13,	extcolor{green}{$<$1e-10},<1e-10,291.0
receptor complex,1.1038710975817253e-07,5.5193554879086263e-08,0.9999999448064452,5.5193554879086263e-08,	extcolor{green}{6e-08},6e-08,4.0571127173878336e-05,2.0285563586939168e-05,0.9999797144364131,2.0285563586939168e-05,	extcolor{green}{2e-05},2e-05,455.0
Golgi apparatus,2.1267061379918986e-07,1.0633530689959493e-07,0.9999998936646931,1.0633530689959493e-07,	extcolor{green}{1e-07},1e-07,0.004595901172074331,0.0022979505860371654,0.9977020494139628,0.0022979505860371654,	extcolor{green}{0.002},0.002,1855.0
transcription regulator complex,2.7605992958257275e-07,0.9999998619700352,1.3802996479128637e-07,1.3802996479128637e-07,	extcolor{orange}{1e-07},1e-07,9.095895151078892e-06,0.9999954520524245,4.547947575539446e-06,4.547947575539446e-06,	extcolor{orange}{5e-06},5e-06,834.0
endoplasmic reticulum membrane,6.347283120834193e-07,3.1736415604170967e-07,0.9999996826358439,3.1736415604170967e-07,	extcolor{green}{3e-07},3e-07,1.2651483025070953e-08,6.3257415125354765e-09,0.9999999936742585,6.3257415125354765e-09,	extcolor{green}{6e-09},6e-09,983.0
cytoskeleton,1.5370910360079648e-06,0.999999231454482,7.685455180039824e-07,7.685455180039824e-07,	extcolor{orange}{8e-07},8e-07,1.125724444106524e-05,0.9999943713777795,5.62862222053262e-06,5.62862222053262e-06,	extcolor{orange}{6e-06},6e-06,3269.0
apical plasma membrane,1.5896621497918903e-05,7.948310748959451e-06,0.9999920516892511,7.948310748959451e-06,	extcolor{green}{8e-06},8e-06,3.670737638468443e-09,1.8353688192342216e-09,0.9999999981646311,1.8353688192342216e-09,	extcolor{green}{2e-09},2e-09,426.0
