,nu_two_sided,nu_pvalue_g,nu_pvalue_l,nu_one_sided,nu_one_sided_latex,nu_one_sided_excel,SPR_two_sided,SPR_pvalue_g,SPR_pvalue_l,SPR_one_sided,SPR_one_sided_latex,SPR_one_sided_excel,n
chromatin,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,2331.0
nucleus,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,10075.0
chromosome,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,3087.0
membrane,2.143839829010372e-37,1.071919914505186e-37,1.0,1.071919914505186e-37,	extcolor{green}{$<$1e-10},<1e-10,2.1600243280243163e-36,1.0800121640121581e-36,1.0,1.0800121640121581e-36,	extcolor{green}{$<$1e-10},<1e-10,8622.0
mitochondrion,3.3276679713399297e-25,1.6638339856699649e-25,1.0,1.6638339856699649e-25,	extcolor{green}{$<$1e-10},<1e-10,1.3942324761211387e-12,6.971162380605694e-13,0.9999999999993029,6.971162380605694e-13,	extcolor{green}{$<$1e-10},<1e-10,1190.0
extracellular region,4.22989036370029e-23,2.114945181850145e-23,1.0,2.114945181850145e-23,	extcolor{green}{$<$1e-10},<1e-10,3.699429586558389e-14,1.8497147932791944e-14,0.9999999999999815,1.8497147932791944e-14,	extcolor{green}{$<$1e-10},<1e-10,3168.0
mitochondrial inner membrane,3.24306788149575e-22,1.621533940747875e-22,1.0,1.621533940747875e-22,	extcolor{green}{$<$1e-10},<1e-10,3.911012777068971e-08,1.9555063885344855e-08,0.9999999804449361,1.9555063885344855e-08,	extcolor{green}{2e-08},2e-08,259.0
mitochondrial matrix,2.118605358245163e-20,1.0593026791225815e-20,1.0,1.0593026791225815e-20,	extcolor{green}{$<$1e-10},<1e-10,2.0743139004135232e-08,1.0371569502067616e-08,0.9999999896284305,1.0371569502067616e-08,	extcolor{green}{1e-08},1e-08,276.0
cytoplasmic vesicle,1.6438906193985993e-17,8.219453096992997e-18,1.0,8.219453096992997e-18,	extcolor{green}{$<$1e-10},<1e-10,5.994826743079093e-18,2.9974133715395466e-18,1.0,2.9974133715395466e-18,	extcolor{green}{$<$1e-10},<1e-10,2466.0
extracellular space,1.2695506857778343e-16,6.347753428889171e-17,0.9999999999999999,6.347753428889171e-17,	extcolor{green}{$<$1e-10},<1e-10,1.2128986249914228e-09,6.064493124957114e-10,0.9999999993935507,6.064493124957114e-10,	extcolor{green}{6e-10},6e-10,2479.0
plasma membrane,3.9869947083852235e-15,1.9934973541926117e-15,0.999999999999998,1.9934973541926117e-15,	extcolor{green}{$<$1e-10},<1e-10,1.3198850160369793e-18,6.599425080184896e-19,1.0,6.599425080184896e-19,	extcolor{green}{$<$1e-10},<1e-10,5578.0
nucleoplasm,8.881784197001252e-15,0.9999999999999956,4.440892098500626e-15,4.440892098500626e-15,	extcolor{orange}{$<$1e-10},<1e-10,0.0002033133332344228,0.9998983433333828,0.0001016566666172114,0.0001016566666172114,	extcolor{orange}{0.0001},0.0001,5684.0
cytoplasm,9.237927439988253e-15,4.618963719994127e-15,0.9999999999999953,4.618963719994127e-15,	extcolor{green}{$<$1e-10},<1e-10,3.873062146388026e-11,1.936531073194013e-11,0.9999999999806347,1.936531073194013e-11,	extcolor{green}{$<$1e-10},<1e-10,12694.0
endoplasmic reticulum,2.0840061640809155e-13,1.0420030820404577e-13,0.9999999999998958,1.0420030820404577e-13,	extcolor{green}{$<$1e-10},<1e-10,3.960737074423859e-15,1.9803685372119294e-15,0.999999999999998,1.9803685372119294e-15,	extcolor{green}{$<$1e-10},<1e-10,1791.0
