,nu_two_sided,nu_pvalue_g,nu_pvalue_l,nu_one_sided,nu_one_sided_latex,nu_one_sided_excel,SPR_two_sided,SPR_pvalue_g,SPR_pvalue_l,SPR_one_sided,SPR_one_sided_latex,SPR_one_sided_excel,n
endosome membrane,3.100372101154153e-10,1.5501860505770765e-10,0.9999999998449814,1.5501860505770765e-10,	extcolor{green}{2e-10},2e-10,4.385504144932749e-15,2.1927520724663744e-15,0.9999999999999978,2.1927520724663744e-15,	extcolor{green}{$<$1e-10},<1e-10,751.0
chromatin,3.048980623532316e-09,0.9999999984755097,1.524490311766158e-09,1.524490311766158e-09,	extcolor{orange}{2e-09},2e-09,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,2458.0
plasma membrane,4.209352657718202e-09,2.104676328859101e-09,0.9999999978953237,2.104676328859101e-09,	extcolor{green}{2e-09},2e-09,7.926012364666941e-25,3.9630061823334707e-25,1.0,3.9630061823334707e-25,	extcolor{green}{$<$1e-10},<1e-10,8083.0
extracellular exosome,5.629093099648287e-09,2.8145465498241436e-09,0.9999999971854534,2.8145465498241436e-09,	extcolor{green}{3e-09},3e-09,1.2009909747393283e-07,6.004954873696642e-08,0.9999999399504512,6.004954873696642e-08,	extcolor{green}{6e-08},6e-08,2410.0
lysosomal membrane,1.4883466017795229e-08,7.441733008897614e-09,0.999999992558267,7.441733008897614e-09,	extcolor{green}{7e-09},7e-09,8.644146767258067e-10,4.3220733836290337e-10,0.9999999995677926,4.3220733836290337e-10,	extcolor{green}{4e-10},4e-10,545.0
early endosome,1.8818772969030965e-08,9.409386484515483e-09,0.9999999905906135,9.409386484515483e-09,	extcolor{green}{9e-09},9e-09,3.2973803395875744e-11,1.6486901697937872e-11,0.9999999999835131,1.6486901697937872e-11,	extcolor{green}{$<$1e-10},<1e-10,660.0
microtubule cytoskeleton,2.0021564843255675e-08,1.0010782421627838e-08,0.9999999899892176,1.0010782421627838e-08,	extcolor{green}{1e-08},1e-08,1.273386292516654e-10,6.36693146258327e-11,0.9999999999363307,6.36693146258327e-11,	extcolor{green}{$<$1e-10},<1e-10,2607.0
Golgi apparatus,4.371284571411078e-08,2.185642285705539e-08,0.9999999781435771,2.185642285705539e-08,	extcolor{green}{2e-08},2e-08,1.2835762552651378e-08,6.417881276325689e-09,0.9999999935821188,6.417881276325689e-09,	extcolor{green}{6e-09},6e-09,2573.0
axoneme,1.9443148160816415e-07,9.721574080408208e-08,0.9999999027842592,9.721574080408208e-08,	extcolor{green}{1e-07},1e-07,1.2307926785382128e-16,6.153963392691064e-17,0.9999999999999999,6.153963392691064e-17,	extcolor{green}{$<$1e-10},<1e-10,349.0
basolateral plasma membrane,2.139549807793055e-07,1.0697749038965275e-07,0.9999998930225096,1.0697749038965275e-07,	extcolor{green}{1e-07},1e-07,9.551386854089092e-10,4.775693427044546e-10,0.9999999995224307,4.775693427044546e-10,	extcolor{green}{5e-10},5e-10,418.0
trans-Golgi network,5.02579642846308e-07,2.51289821423154e-07,0.9999997487101786,2.51289821423154e-07,	extcolor{green}{3e-07},3e-07,4.780270449378714e-07,2.390135224689357e-07,0.9999997609864776,2.390135224689357e-07,	extcolor{green}{2e-07},2e-07,450.0
nuclear body,1.4362468474526935e-06,0.9999992818765763,7.181234237263467e-07,7.181234237263467e-07,	extcolor{orange}{7e-07},7e-07,9.878542428509718e-12,0.9999999999950607,4.939271214254859e-12,4.939271214254859e-12,	extcolor{orange}{$<$1e-10},<1e-10,1456.0
late endosome,1.7701202631073302e-06,8.850601315536651e-07,0.9999991149398685,8.850601315536651e-07,	extcolor{green}{9e-07},9e-07,1.7406073011277563e-11,8.703036505638782e-12,0.999999999991297,8.703036505638782e-12,	extcolor{green}{$<$1e-10},<1e-10,425.0
chromosome,2.7997276044189334e-06,0.9999986001361978,1.3998638022094667e-06,1.3998638022094667e-06,	extcolor{orange}{1e-06},1e-06,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,3365.0
early endosome membrane,8.165843715948461e-06,4.0829218579742305e-06,0.9999959170781421,4.0829218579742305e-06,	extcolor{green}{4e-06},4e-06,4.43617298007282e-08,2.21808649003641e-08,0.9999999778191351,2.21808649003641e-08,	extcolor{green}{2e-08},2e-08,310.0
extracellular space,1.0574757787447994e-05,5.287378893723997e-06,0.9999947126211063,5.287378893723997e-06,	extcolor{green}{5e-06},5e-06,0.006652167924877382,0.003326083962438691,0.9966739160375613,0.003326083962438691,	extcolor{green}{0.003},0.003,3816.0
apical plasma membrane,1.106813849831276e-05,5.53406924915638e-06,0.9999944659307508,5.53406924915638e-06,	extcolor{green}{6e-06},6e-06,3.046818147748778e-09,1.523409073874389e-09,0.9999999984765909,1.523409073874389e-09,	extcolor{green}{2e-09},2e-09,631.0
nuclear speck,3.5339209768503466e-05,0.9999823303951157,1.7669604884251733e-05,1.7669604884251733e-05,	extcolor{orange}{2e-05},2e-05,4.374310154098282e-07,0.9999997812844923,2.187155077049141e-07,2.187155077049141e-07,	extcolor{orange}{2e-07},2e-07,715.0
membrane raft,7.793503430436255e-05,3.8967517152181276e-05,0.9999610324828478,3.8967517152181276e-05,	extcolor{green}{4e-05},4e-05,2.4902268998901944e-07,1.2451134499450972e-07,0.999999875488655,1.2451134499450972e-07,	extcolor{green}{1e-07},1e-07,493.0
microtubule,8.354016558108594e-05,4.177008279054297e-05,0.9999582299172095,4.177008279054297e-05,	extcolor{green}{4e-05},4e-05,4.082725629222601e-06,2.0413628146113003e-06,0.9999979586371854,2.0413628146113003e-06,	extcolor{green}{2e-06},2e-06,884.0
endoplasmic reticulum,0.00045697414992617056,0.00022848707496308528,0.999771512925037,0.00022848707496308528,	extcolor{green}{0.0002},0.0002,2.7117095795441305e-07,1.3558547897720653e-07,0.999999864414521,1.3558547897720653e-07,	extcolor{green}{1e-07},1e-07,2532.0
cilium,0.001519229198853287,0.0007596145994266434,0.9992403854005734,0.0007596145994266434,	extcolor{green}{0.0008},0.0008,2.5378223891888827e-14,1.2689111945944414e-14,0.9999999999999873,1.2689111945944414e-14,	extcolor{green}{$<$1e-10},<1e-10,1315.0
cell projection,0.003766607765659167,0.0018833038828295835,0.9981166961171705,0.0018833038828295835,	extcolor{green}{0.002},0.002,2.991160299813835e-09,1.4955801499069175e-09,0.9999999985044199,1.4955801499069175e-09,	extcolor{green}{1e-09},1e-09,4323.0
external side of plasma membrane,0.005743162828277513,0.0028715814141387565,0.9971284185858612,0.0028715814141387565,	extcolor{green}{0.003},0.003,7.388782238584398e-11,3.694391119292199e-11,0.9999999999630561,3.694391119292199e-11,	extcolor{green}{$<$1e-10},<1e-10,497.0
nucleoplasm,0.007572666144778362,0.9962136669276108,0.003786333072389181,0.003786333072389181,	extcolor{orange}{0.004},0.004,3.6177844753293442e-06,0.9999981911077623,1.8088922376646721e-06,1.8088922376646721e-06,	extcolor{orange}{2e-06},2e-06,6602.0
cell surface,0.01701211694106251,0.008506058470531255,0.9914939415294688,0.008506058470531255,	extcolor{green}{0.009},0.009,2.0816913248101554e-08,1.0408456624050777e-08,0.9999999895915433,1.0408456624050777e-08,	extcolor{green}{1e-08},1e-08,1378.0
receptor complex,0.23772657414974874,0.11886328707487437,0.8811367129251256,0.11886328707487437,	extcolor{green}{0.1},0.1,1.1166135638758222e-05,5.583067819379111e-06,0.9999944169321806,5.583067819379111e-06,	extcolor{green}{6e-06},6e-06,850.0
transcription regulator complex,0.23793074882230014,0.8810346255888499,0.11896537441115007,0.11896537441115007,	extcolor{orange}{0.1},0.1,6.034084343298218e-11,0.9999999999698296,3.017042171649109e-11,3.017042171649109e-11,	extcolor{orange}{$<$1e-10},<1e-10,878.0
