,nu_two_sided,nu_pvalue_g,nu_pvalue_l,nu_one_sided,nu_one_sided_latex,nu_one_sided_excel,SPR_two_sided,SPR_pvalue_g,SPR_pvalue_l,SPR_one_sided,SPR_one_sided_latex,SPR_one_sided_excel,n
nucleus,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,11827.0
cytoplasm,2.3118682016574406e-43,1.1559341008287203e-43,1.0,1.1559341008287203e-43,	extcolor{green}{$<$1e-10},<1e-10,3.723287159837809e-27,1.8616435799189046e-27,1.0,1.8616435799189046e-27,	extcolor{green}{$<$1e-10},<1e-10,16893.0
mitochondrial matrix,1.427657652560016e-29,7.13828826280008e-30,1.0,7.13828826280008e-30,	extcolor{green}{$<$1e-10},<1e-10,1.171519267221101e-06,5.857596336105505e-07,0.9999994142403664,5.857596336105505e-07,	extcolor{green}{6e-07},6e-07,453.0
mitochondrion,1.999620851602757e-27,9.998104258013784e-28,1.0,9.998104258013784e-28,	extcolor{green}{$<$1e-10},<1e-10,1.9404787947276463e-05,9.702393973638231e-06,0.9999902976060263,9.702393973638231e-06,	extcolor{green}{1e-05},1e-05,1700.0
membrane,3.633675193597275e-21,1.8168375967986375e-21,1.0,1.8168375967986375e-21,	extcolor{green}{$<$1e-10},<1e-10,4.324286899788424e-35,2.162143449894212e-35,1.0,2.162143449894212e-35,	extcolor{green}{$<$1e-10},<1e-10,12227.0
cytoplasmic vesicle,9.37851431105625e-19,4.689257155528125e-19,1.0,4.689257155528125e-19,	extcolor{green}{$<$1e-10},<1e-10,3.2975324459806938e-24,1.6487662229903469e-24,1.0,1.6487662229903469e-24,	extcolor{green}{$<$1e-10},<1e-10,3513.0
endosome,6.443048417154598e-16,3.221524208577299e-16,0.9999999999999997,3.221524208577299e-16,	extcolor{green}{$<$1e-10},<1e-10,4.556351451235985e-18,2.2781757256179925e-18,1.0,2.2781757256179925e-18,	extcolor{green}{$<$1e-10},<1e-10,1518.0
mitochondrial inner membrane,3.1412822192150044e-14,1.5706411096075022e-14,0.9999999999999843,1.5706411096075022e-14,	extcolor{green}{$<$1e-10},<1e-10,0.09823919636713878,0.04911959818356939,0.9508804018164306,0.04911959818356939,	extcolor{green}{0.05},0.05,356.0
cytoplasmic vesicle membrane,1.6455312202919532e-13,8.227656101459766e-14,0.9999999999999177,8.227656101459766e-14,	extcolor{green}{$<$1e-10},<1e-10,2.6644046613141775e-17,1.3322023306570887e-17,1.0,1.3322023306570887e-17,	extcolor{green}{$<$1e-10},<1e-10,1772.0
cytosol,9.911830217281206e-13,4.955915108640603e-13,0.9999999999995044,4.955915108640603e-13,	extcolor{green}{$<$1e-10},<1e-10,1.3741813875174646e-08,6.870906937587323e-09,0.999999993129093,6.870906937587323e-09,	extcolor{green}{7e-09},7e-09,7819.0
lysosome,9.447030075672127e-11,4.7235150378360634e-11,0.9999999999527649,4.7235150378360634e-11,	extcolor{green}{$<$1e-10},<1e-10,7.943210602929845e-15,3.9716053014649225e-15,0.999999999999996,3.9716053014649225e-15,	extcolor{green}{$<$1e-10},<1e-10,919.0
