,nu_two_sided,nu_pvalue_g,nu_pvalue_l,nu_one_sided,nu_one_sided_latex,nu_one_sided_excel,SPR_two_sided,SPR_pvalue_g,SPR_pvalue_l,SPR_one_sided,SPR_one_sided_latex,SPR_one_sided_excel,n
apical plasma membrane,8.445123190488746e-06,4.222561595244373e-06,0.9999957774384047,4.222561595244373e-06,	extcolor{green}{4e-06},4e-06,2.1350066796907368e-09,1.0675033398453684e-09,0.9999999989324967,1.0675033398453684e-09,	extcolor{green}{1e-09},1e-09,484.0
extracellular region,2.796246894074658e-05,1.398123447037329e-05,0.9999860187655296,1.398123447037329e-05,	extcolor{green}{1e-05},1e-05,1.6323421848812602e-05,8.161710924406301e-06,0.9999918382890756,8.161710924406301e-06,	extcolor{green}{8e-06},8e-06,3657.0
membrane raft,3.130641164275742e-05,1.565320582137871e-05,0.9999843467941786,1.565320582137871e-05,	extcolor{green}{2e-05},2e-05,2.755684908252285e-06,1.3778424541261425e-06,0.9999986221575459,1.3778424541261425e-06,	extcolor{green}{1e-06},1e-06,403.0
external side of plasma membrane,5.63852793732117e-05,2.819263968660585e-05,0.9999718073603134,2.819263968660585e-05,	extcolor{green}{3e-05},3e-05,4.383070820128197e-17,2.1915354100640986e-17,1.0,2.1915354100640986e-17,	extcolor{green}{$<$1e-10},<1e-10,345.0
early endosome membrane,0.00017225741788866298,8.612870894433149e-05,0.9999138712910557,8.612870894433149e-05,	extcolor{green}{9e-05},9e-05,3.65695008245245e-06,1.828475041226225e-06,0.9999981715249587,1.828475041226225e-06,	extcolor{green}{2e-06},2e-06,236.0
receptor complex,0.0005603548156219705,0.00028017740781098523,0.9997198225921891,0.00028017740781098523,	extcolor{green}{0.0003},0.0003,2.963255626192165e-08,1.4816278130960825e-08,0.9999999851837219,1.4816278130960825e-08,	extcolor{green}{1e-08},1e-08,590.0
endoplasmic reticulum membrane,0.0006010542746119848,0.0003005271373059924,0.999699472862694,0.0003005271373059924,	extcolor{green}{0.0003},0.0003,5.0190676170954585e-09,2.5095338085477293e-09,0.9999999974904662,2.5095338085477293e-09,	extcolor{green}{3e-09},3e-09,1011.0
axoneme,0.0013081484312461797,0.0006540742156230898,0.9993459257843769,0.0006540742156230898,	extcolor{green}{0.0007},0.0007,3.243829061270151e-09,1.6219145306350755e-09,0.9999999983780855,1.6219145306350755e-09,	extcolor{green}{2e-09},2e-09,293.0
transcription regulator complex,0.02016846947962514,0.9899157652601874,0.01008423473981257,0.01008423473981257,	extcolor{orange}{0.01},0.01,3.184119634624949e-13,0.9999999999998408,1.5920598173124745e-13,1.5920598173124745e-13,	extcolor{orange}{$<$1e-10},<1e-10,752.0
cilium,0.5067154154422315,0.25335770772111577,0.7466422922788842,0.25335770772111577,	extcolor{green}{0.3},0.3,2.690357207386953e-07,1.3451786036934764e-07,0.9999998654821396,1.3451786036934764e-07,	extcolor{green}{1e-07},1e-07,1045.0
